name,supplies,address,contact,remark
武汉市第一医院（急需）,N109/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市中山大道215号武汉市第一医院设备处,"设备科金老师 18171397656 
曹老师 15827413206 
袁老师 18372024857 ",急缺N95口罩及医用防护服
武汉市优抚医院,N95，防护服（急需面罩，眼罩）,武汉市江汉区发展大道187号,赵惠龙：13006364740,已电话核实
汉口医院,N95，外科口罩，护目镜，一次性医用口罩，医用帽，防护服，手术衣，防冲击眼罩，防护面罩,武汉市江岸区二七侧路7号,设备科主任 汤珍珍13871151852,
武汉市黄陂区人民医院,需要: 护目镜、N95口罩、外科口罩、一次性医用口罩、医用帽、防护服、手术衣、防冲击眼罩、防护面罩,湖北省武汉市黄陂区前川百秀街259号（黄陂区人民医院设备科）,黄坚 /李枫  13907124259  /15871368668,
武汉大学人民医院东院,:N95口罩、防护服,武汉市东湖高新区高新六路武汉大学人民医院东院,丁永军  13986096842,
武汉市蔡甸协和江北医院（蔡甸区人民医院）,N95口罩，防护服，护目眼镜，医用外科手套,湖北省武汉市蔡甸区成功大道111号,范主任  18971061096,
汉口金银滩医院（紧急）,N95.防护服,,13437136498俞,
武汉市公安局,武汉市公安局,武汉市公安局,武汉市公安局,武汉市公安局
武汉市武昌医院,N96/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市武昌路杨园街116号,"宣传科袁老师 15972989707 
宣传科周老师 13476230209 
设备科肖老师 18986068369 
24小时值班 18162533930",
武汉市汉阳医院,N97/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市汉阳区墨水湖路53号,"王老师 18602703263 
徐老师 18627869526 
易老师 13971032861",
武汉市汉口医院,N98/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江岸区二七侧路7号,常乐：15907115748,
武汉市九医院,N99/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市青山区吉林街20号,院办 027-68865299,
武汉市第七医院,N100/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市武昌区中南二路6号,设备科徐梦梅 13971078447 ,
武汉市普仁医院,N101/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,,肖模龙老师18674077821,
武汉市六医院,N102/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,,周金和老师13317170000,
武汉市第三医院,N103/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市武昌区彭刘杨路241号（首义院区）或 洪山区关山大道216号（光谷园区）,黄斌老师15071372688,15071372688
武汉市第三医院首义院区,需要防护服、N95口罩、医用消毒酒精,武汉市第三医院首义院区,刘柳13971290864,
武汉长航总医院（定点医院）急需！,"急需
3M1860或3M9132口罩 5万只
3M4565防护服 2万件
一次性医用外科口罩 20万只
一次性手术衣 5万件
",武汉市江岸区惠济路5号长江航运总医院医学装备部,王少伟 13307102888,
湖北省中医院,N104/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"武汉市武昌区花园山4号
",唐莉18986072142,18986072142
华南科技大学同济医学院附属协和医院,N105/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江汉区解放大道1277号,"吕老师13807138996
程老师 13971115010 
支老师 13470037766",
湖北省儿童医疗中心,N106/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江岸区香港路100路武汉儿童医院,"肖老师 18502764706 
张老师 15623500317",
武汉大学中南医院,N108/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市东湖路169号武汉大学中南医院,"张老师027-67813010
15072222328",
武汉大学人民医院,N110/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市武昌区解放路238号,"医疗设备处  027-88042293 
潘老师 18672336467 
洪老师 13297015094 ",
武汉市第五医院,N95（10万）/护目镜（1千）/外科口罩（20万）/防护服（1万套）/隔离衣（一万）/防冲击眼罩/防护面罩（1千）/84消毒液（1千）/普通口罩（1千）,, ,之前公布的院内电话打不通，请各位拨打13657208692武汉市第五医院神经内科余新，负责物资接收
湖北省肿瘤医院,N112/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市洪山区卓刀泉南路116号,"
胡老师 13971269012 
曹老师 15926288626 ",
武汉市红十字会医院,N113/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江汉区香港路392号,肖顺华18062519388,
武汉市中心医院,N114/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江岸区胜利街26号,"设备科杨芸 027-82211225 
 18627907799 ",
武汉市第四医院,N115/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市硚口区汉正街473号,祁红18171082725,护目镜15个，n95口罩，隔离衣
长江航运总医院,N116/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,武汉市江岸区惠济路5号,"王绍伟 13307102888 
王凌 15927422336 ",
武汉市红十字会,N117/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,,"骆钢强 13297963117 
联系方式1  027-82788599 
联系方式2 027-82210181 
联系方式3 027-82812604 
联系方式4 027-82858499 
联系方式5 028-82856122 
",24小时电话接收爱心捐赠
武汉市慈善总会,N118/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,,"汪亮 13627104336 
联系方式1 027-85729696 
联系方式2 027-85751277 
联系方式3 85798437 
联系方式4 027-85798437 
",
湖北省第三人民医院,N119/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,,"杨先生 15102749696 
李先生 18507106399 ",
湖北省江汉区中西医结合医院,N120/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,"地址： 湖北省江汉区菱角湖路11号
已核实。","医生吴志伟 13545213730， 
护士：肖瑶 13129973408 ","急缺防护服，至少需要1000防护服；7000隔离衣；7000口罩；1000护目镜；大量鞋套、一次性床套。
"
武汉科技大学附属天佑医院,N121/护目镜/外科口罩/一次性医用口罩/医用帽/防护服/手术衣/防冲击眼罩/防护面罩,湖北省武汉市武昌区丁字桥路涂家岭9号,"吴老师 13971596535 
王老师 18202727432 ",
武汉市第一医院耳鼻喉科,,,王陈荣，15907195805，,护目镜5个，N95口罩，隔离衣
武汉协和医院协和内分泌,,武汉市江汉区解放大道1277号内科2号楼20楼,李葳，13407175791，85726798,护目镜25个，N95口罩，隔离衣
